address,squareFootage,sizeDescription,buildingType,url
Uudenkylänmäki 23,110 – 115,5H+K+S – 6H+K+S,PARITALO,/asumisoikeusasunnot/espoo/mankkaa/uudenkylanmaki-23/
Viherpeiponkuja 2,75.5 – 112,3H+K+S – 5H+K+S,RIVITALO,/asumisoikeusasunnot/espoo/lintuvaara/viherpeiponkuja-2/
Lintukorpi 13,46 – 116,1H+TK+S – 6H+K+S,RIVITALO,/asumisoikeusasunnot/espoo/lintukorpi/lintukorpi-13/
Lintukorvenkuja 3,82.5 – 104,3H+K+S – 5H+K+S,RIVITALO,/asumisoikeusasunnot/espoo/lintukorpi/lintukorvenkuja-3/
Kaukolantie 2,81 – 90,3H+K+S – 4H+K+S,PARITALO,/asumisoikeusasunnot/espoo/laajalahti/kaukolantie-2/
Kaukolantie 22,78.5 – 98,3H+K+S – 5H+K+S,RIVITALO,/asumisoikeusasunnot/espoo/laajalahti/kaukolantie-22/
Sininärhentie 12,45 – 100,2H+KK+S – 5H+K+S,RIVITALO,/asumisoikeusasunnot/espoo/lintuvaara/sininarhentie-12/
Isonjärventie 14,"87.5 – 97,5",4H+K+S – 5H+K+S,PARITALO,/asumisoikeusasunnot/espoo/jarvenpera/isonjarventie-14/
Leirikatu 8 ja 10,34 – 112,1H+TK+S – 5H+K+S,KERROSTALO,/asumisoikeusasunnot/espoo/leppavaara/leirikatu-8-ja-10/
"Rummunlyöjänkatu 2, Leppävaarankatu 15",37 – 94.5,1H+KK – 4H+KT+S,KERROSTALO,/asumisoikeusasunnot/espoo/leppavaara/rummunlyojankatu-2-leppavaarankatu-15/
Nuottalahdentie 30,108 – 109,5H+K+S – 5H+K+S,RIVITALO,/asumisoikeusasunnot/espoo/nuottalahti/nuottalahdentie-30/
Laidunrinne 11,50 – 115,2H+K+S – 5H+K+S,OMAKOTITALO,/asumisoikeusasunnot/espoo/noykkio/laidunrinne-11/
Kukkumäenrinne 1,121.5 – 152,5H+K+S – 6H+K+S,OMAKOTITALO,/asumisoikeusasunnot/espoo/kukkumaki/kukkumaenrinne-1/
Herastuomarintie 6,78.5 – 109,3H+K+S – 5H+K+S,RIVITALO,/asumisoikeusasunnot/espoo/muurala/herastuomarintie-6/
Hirvisuontie 4,"40.5 – 95,5",2H+KK – 4H+K+S,PIENKERROSTALO,/asumisoikeusasunnot/espoo/gumbole/hirvisuontie-4/
Lyhtykuja 1,95.5 – 122,4H+K+S – 5H+K+S,PARITALO,/asumisoikeusasunnot/espoo/tuomarila/lyhtykuja-1/
Malminmäentie 5,77 – 107.5,3H+K+S – 5H+K+S,PARITALO,/asumisoikeusasunnot/espoo/malminmaki/malminmaentie-5/
Viputie 11,"93.5 – 103,5",4H+K+S – 5H+K+S,PARITALO,/asumisoikeusasunnot/espoo/lippajarvi/viputie-11/
Nuottalahdentie 21-23,91 – 120,4H+K+S – 6H+K+S,PARITALO,/asumisoikeusasunnot/espoo/nuottalahti/nuottalahdentie-21-23/
Haarniskakuja 6 ja 10,"73.5 – 95,5",3H+K+S – 4H+K+S,PARITALO,/asumisoikeusasunnot/espoo/kilo/haarniskakuja-6-ja-10/
Mikkeläntörmä 2-4,121 – 128.5,5H+K+S – 5H+K+S,PARITALO,/asumisoikeusasunnot/espoo/mikkela/mikkelantorma-2-4/
Nygrannaksentie 2,"91.5 – 105,5",4H+K+S – 5H+K+S,RIVITALO,/asumisoikeusasunnot/espoo/mankkaa/nygrannaksentie-2/
